Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,5.02,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,1.14,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,0.01,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,2.31,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,0.01,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,0.98,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,0.78,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,0.4,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,0.82,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,1.16,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,0.77,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,0.67,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,9.3,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,2.94,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,6.25,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,5.92,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,5.95,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,7.03,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,7.7,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,7.9,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,9.96,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,9.51,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,10.9,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,10.53,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,14.52,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,11.37,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,12.21,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,11.37,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,12.72,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,13.5,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,13.77,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,12.63,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,11.26,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,11.76,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,17.69,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,17.67,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,20.6,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,8.17,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,0.75,Fc,Calculated data
