Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,8.54,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,10.33,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,9.87,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,11.21,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,7.37,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,9.63,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,13.68,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,16.21,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,12.33,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,16.34,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,14.81,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,17.18,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,16.88,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,15.57,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,12.6,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,17.03,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,15.95,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,24.31,Fc,Calculated data
EF,Fertilizers,114,Kenya,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,1.65,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,0.49,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0.26,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,0.53,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,1.27,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0.55,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,0.71,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,0.71,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,0.43,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,0.39,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,0.59,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,0.57,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,0.56,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,1,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,6.05,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,6.6,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,7.59,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,5.91,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,6.99,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,8.09,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,3.48,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,5.67,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,4.61,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,3.74,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,5.81,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,6.65,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,3.34,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,43.13,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,44.5,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,44.2,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,65.49,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,38.99,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,26.76,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,71.01,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,32.75,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,27.57,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,28.13,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,28.19,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,24.3,Fc,Calculated data
